"Project","Primary","trackID","From","To","Type","Ownership","Note","Connected","modin","modout","status"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3132",NA,"FR410A","ATV","Public",NA,"ATV3131, NCTBF021, NCTBF022, ATV3133, FR410A01",2024-02-26 16:00:36.195095,2024-03-05 17:08:46.886837,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3133","FR410A","Unnamed off FR410A","ATV","Public",NA,"ATV3132, FR410A01, ATV3134, TRMYA04",2024-02-26 16:00:36.227077,2024-03-05 17:08:46.900829,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3134","Unnamed off FR410A","FR410","ATV","Public",NA,"ATV3133, TRMYA04, ATV3135, FR41001, FR41005",2024-02-26 16:00:36.257061,2024-03-05 17:08:47.000774,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3135","FR410",NA,"ATV","Public",NA,"ATV3134, FR41001, FR41005, ATV3136",2024-02-26 16:00:36.287041,2024-03-05 17:08:47.015762,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3136",NA,"FR411B","ATV","Public",NA,"ATV3135, ATV3137, FR411B06, FR411B07",2024-02-26 16:00:36.319023,2024-03-05 17:08:47.031775,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3137","FR411B",NA,"ATV","Public",NA,"ATV3136, FR411B06, FR411B07, ATV3138, TRAX22",2024-02-26 16:00:36.350004,2024-03-05 17:08:47.042747,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3138",NA,"FR1632","ATV","Public",NA,"ATV3137, TRAX22, ATV3139, FR163201, FR163202",2024-02-26 16:00:36.379993,2024-03-05 17:08:47.055744,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3139","FR1632",NA,"ATV","Public",NA,"ATV3138, FR163201, FR163202, ATV3140, ATV1803",2024-02-26 16:00:36.410969,2024-03-05 17:08:47.070732,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3140",NA,"FR232","ATV","Public",NA,"ATV3139, ATV1803, ATV3141, FR23202",2024-02-26 16:00:36.44595,2024-03-05 17:08:47.082726,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3141","FR232",NA,"ATV","Public",NA,"ATV3140, FR23202, ATV3142, TRBK01",2024-02-26 16:00:36.477951,2024-03-05 17:08:47.104713,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3142",NA,"W Delta Rd","ATV","Public",NA,"ATV3141, TRBK01, ATV3143, WDLT03, WDLT04",2024-02-26 16:00:36.512913,2024-03-05 17:08:47.125715,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3143","W Delta Rd","FR395B","ATV","Public",NA,"ATV3142, WDLT03, WDLT04, ATV3144, FR39501, FR39502",2024-02-26 16:00:36.575874,2024-03-05 17:08:47.252626,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3144","FR395","FR805","ATV","Public",NA,"ATV3143, FR39501, FR39502, ATV3145, FR80501, FR80502",2024-02-26 16:00:36.607874,2024-03-05 17:08:47.275612,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3145","FR805","FR400","ATV","Public",NA,"ATV3144, FR80501, FR80502, ATV3146, FR40001, FR40002",2024-02-26 16:00:36.63784,2024-03-05 17:08:47.288607,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3146","FR400","Unnamed off FR395","ATV","Public",NA,"ATV3145, FR40001, FR40002, ATV3147, TR395A01, TR395A02",2024-02-26 16:00:36.683815,2024-03-05 17:08:47.306595,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3147","Unnamed off FR395","Unnamed off FR400","ATV","Public",NA,"ATV3146, TR395A01, TR395A02, ATV3148, TR400C01",2024-02-26 16:00:36.728788,2024-03-05 17:08:47.327583,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3148","Unnamed off FR400","Unnamed off FR395","ATV","Public",NA,"ATV3147, TR400C01, ATV3149, TR395B01",2024-02-26 16:00:36.784756,2024-03-05 17:08:47.425526,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3149","Unnamed off FR395","Unnamed off FR400","ATV","Public",NA,"ATV3148, TR395B01, ATV3150, TR400D01",2024-02-26 16:00:36.824734,2024-03-05 17:08:47.437519,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3150","Unnamed off FR400","Unnamed near Beck Rd","ATV","Public",NA,"ATV3149, TR400D01, ATV3151, TRBKB03",2024-02-26 16:00:36.895691,2024-03-05 17:08:47.451511,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3151","Unnamed near Beck Rd","FR229A","ATV","Public",NA,"ATV3150, TRBKB03, ATV3152, FR229A01",2024-02-26 16:00:36.942663,2024-03-05 17:08:47.470503,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3152","FR229A","FR229A","ATV","Public",NA,"ATV3151, FR229A01, ATV3153, FR229A02",2024-02-26 16:00:36.982639,2024-03-05 17:08:47.483494,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3153","FR229A","ATV/Snow Trail 61","ATV","Public",NA,"ATV3152, FR229A02, ATV3154, ATV6101, TRMYB01",2024-02-26 16:00:37.016621,2024-03-05 17:08:47.496487,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3154","ATV/Snow Trail 61","Unnamed off Beck Rd","ATV","Public",NA,"ATV3153, ATV6101, TRMYB01, ATV3155, TRBKE01",2024-02-26 16:00:37.050602,2024-03-05 17:08:47.514477,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3155","Unnamed off Beck Rd","Unnamed off Beck Rd","ATV","Public",NA,"ATV3154, TRBKE01, ATV3156, TRBKF01",2024-02-26 16:00:37.082582,2024-03-05 17:08:47.528469,"EXISTING"
"Iron River Area","ATV/Snow Trail 31 (Buckskin)","ATV3156","Unnamed off Beck Rd","Jennrich Rd","ATV","Public",NA,"ATV3156, TRBKF01, ATV3161, JRCH11, JRCH12",2024-02-26 16:00:37.113565,2024-03-05 17:08:47.632427,"EXISTING"
"Iron River Area","ATV/Snow Trail 61","ATV6101","ATV/Snow Trail 31 (Buckskin)","FR229A","ATV","Public",NA,"ATV3153, ATV3154, TRMYB01, ATV6102, FR229A01",2023-01-16 21:39:54.504108,2024-03-05 17:08:47.6444,"EXISTING"
"Iron River Area","ATV/Snow Trail 61","ATV6102","FR229A","Unnamed off Beck Rd","ATV","Public",NA,"ATV6101, FR229A01, ATV6103, TRBKD02",2023-01-16 21:39:54.505119,2024-03-05 17:08:47.659391,"EXISTING"
"Iron River Area","ATV/Snow Trail 61","ATV6103","Unnamed off Beck Rd","Beck Rd","ATV","Public",NA,"ATV6102, TRBKD02, BECK09, BECK10",2023-01-16 21:39:54.507107,2024-03-05 17:08:47.674383,"EXISTING"
"Iron River Area","ATV/Snow trail parallel to Cty Rd H","ATVH10","Wayside Rd","Pine Lake Rd","ATV","Public",NA,"WYSD04, WYSD05, PINE01, PINE02",2023-01-16 21:39:54.508118,2024-03-05 17:08:47.699369,"EXISTING"
"Iron River Area","Bailey Lake Rd","BALY01","Weidenaar Rd","Tripp Cemetary Rd","Gravel","Public",NA,"WDNR01, WDNR02, BALY02, CTRY01",2023-06-15 18:42:22.405926,2024-03-05 17:08:47.713362,"EXISTING"
"Iron River Area","Bailey Lake Rd","BALY02","Tripp Cemetary Rd","Battle Axe Rd","Gravel","Public",NA,"BALY01, CTRY01, BALY03, BTLX09, BTLX10",2023-06-15 18:42:52.143179,2024-03-05 17:08:47.740351,"EXISTING"
"Iron River Area","Bailey Lake Rd","BALY03","Battle Axe Rd","Bailey Lake [Alt] to Hahn Rd","Gravel","Public",NA,"BALY02, BTLX09, BTLX10, BALY04, BALY05",2024-03-03 17:11:08.096413,2024-03-05 17:08:47.874269,"EXISTING"
"Iron River Area","Bailey Lake Rd","BALY04","Bailey Lake [Alt] to Hahn Rd","Bailey Lake [Alt] to Hahn Rd","Gravel","Public",NA,"BALY03, BALY05, BALY06, BALY07",2024-03-03 17:12:26.656013,2024-03-05 17:08:47.88726,"EXISTING"
"Iron River Area","Bailey Lake Rd","BALY05","Bailey Lake Rd","Hahn Rd","Gravel","Public",NA,"BALY03, BALY04, BALY06, BALY13",2024-03-03 17:12:26.632027,2024-03-05 17:08:47.897257,"EXISTING"
"Iron River Area","Bailey Lake Rd","BALY06","Bailey Lake Rd","Hahn Rd","Gravel","Public",NA,"BALY05, BALY13, BALY04, BALY07",2024-03-03 17:12:26.119566,2024-03-05 17:08:47.918385,"EXISTING"
